SIZE_OF_LEVEL 1280 540
PLAYER_POSITION 200 460
NEW_BLOCK PUSH_RIGHT_BLOCK 0 0
NEW_BLOCK PUSH_RIGHT_BLOCK 0 1
NEW_BLOCK PUSH_RIGHT_BLOCK 0 2
NEW_BLOCK PUSH_RIGHT_BLOCK 0 3
NEW_BLOCK PUSH_RIGHT_BLOCK 0 4
NEW_BLOCK PUSH_RIGHT_BLOCK 0 5
NEW_BLOCK PUSH_RIGHT_BLOCK 0 6
NEW_BLOCK PUSH_RIGHT_BLOCK 0 7
NEW_BLOCK PUSH_RIGHT_BLOCK 0 8
NEW_BLOCK PUSH_RIGHT_BLOCK 0 9
NEW_BLOCK COLLIDE_BLOCK 0 19
NEW_BLOCK PUSH_RIGHT_BLOCK 1 0
NEW_BLOCK PUSH_RIGHT_BLOCK 1 1
NEW_BLOCK PUSH_RIGHT_BLOCK 1 2
NEW_BLOCK PUSH_RIGHT_BLOCK 1 3
NEW_BLOCK PUSH_RIGHT_BLOCK 1 4
NEW_BLOCK PUSH_RIGHT_BLOCK 1 5
NEW_BLOCK PUSH_RIGHT_BLOCK 1 6
NEW_BLOCK PUSH_RIGHT_BLOCK 1 7
NEW_BLOCK PUSH_RIGHT_BLOCK 1 8
NEW_BLOCK PUSH_RIGHT_BLOCK 1 9
NEW_BLOCK COLLIDE_BLOCK 1 19
NEW_BLOCK PUSH_RIGHT_BLOCK 2 0
NEW_BLOCK PUSH_RIGHT_BLOCK 2 1
NEW_BLOCK PUSH_RIGHT_BLOCK 2 2
NEW_BLOCK PUSH_RIGHT_BLOCK 2 3
NEW_BLOCK PUSH_RIGHT_BLOCK 2 4
NEW_BLOCK PUSH_RIGHT_BLOCK 2 5
NEW_BLOCK PUSH_RIGHT_BLOCK 2 6
NEW_BLOCK PUSH_RIGHT_BLOCK 2 7
NEW_BLOCK PUSH_RIGHT_BLOCK 2 8
NEW_BLOCK PUSH_RIGHT_BLOCK 2 9
NEW_BLOCK COLLIDE_BLOCK 2 19
NEW_BLOCK PUSH_RIGHT_BLOCK 3 0
NEW_BLOCK PUSH_RIGHT_BLOCK 3 1
NEW_BLOCK PUSH_RIGHT_BLOCK 3 2
NEW_BLOCK PUSH_RIGHT_BLOCK 3 3
NEW_BLOCK PUSH_RIGHT_BLOCK 3 4
NEW_BLOCK PUSH_RIGHT_BLOCK 3 5
NEW_BLOCK PUSH_RIGHT_BLOCK 3 6
